City	MonthofDate	Shape	CountofShape
Dallas	August 2013	Light	2
Austin	August 2013	*	2
Houston	August 2013	*	2
Fillmore	July 2013	Unknown	1
Seminole	July 2013	Circle	1
Lake Dallas	July 2013	Fireball	1
Ingleside	July 2013	Unknown	1
Anna	July 2013	Fireball	1
Missouri City	July 2013	Fireball	1
Cedar Hill	July 2013	Circle	1
Watauga	July 2013	Light	1
Athens	July 2013	Fireball	1
Sulphur Springs	July 2013	Formation	1
The Woodlands	July 2013	Triangle	1
Kingwood	July 2013	Formation	1
League City	July 2013	Circle	1
Hurst	July 2013	Light	1
Baytown	July 2013	Formation	1
Garland	July 2013	Triangle	1
Round Rock	July 2013	Fireball	1
Plano	July 2013	Sphere	1
Dallas	July 2013	*	3
San Antonio	July 2013	Changing	1
Austin	July 2013	*	2
Houston	July 2013	Triangle	1
Tilden	June 2013	Triangle	1
Lexington	June 2013	Light	1
Lakeway	June 2013	Sphere	1
Weatherford	June 2013	Sphere	1
Sulphur Springs	June 2013	Light	1
Bertram	June 2013	Light	1
Tomball	June 2013	*	2
Cypress	June 2013	Circle	1
Wichita Falls	June 2013	Light	1
Corpus Christi	June 2013	Oval	1
San Antonio	June 2013	Disk	1
Austin	June 2013	Light	2
Houston	June 2013	Light	1
Hudson Bend	May 2013	Unknown	1
Sullivan City	May 2013	Triangle	1
Princeton	May 2013	Teardrop	1
Porter	May 2013	Fireball	1
Whitney	May 2013	Triangle	1
Wylie	May 2013	Triangle	1
Port Neches	May 2013	Light	1
Sherman	May 2013	Circle	1
Euless	May 2013	Cigar	1
Grapevine	May 2013	Cigar	1
Montgomery	May 2013	Circle	1
Hurst	May 2013	Rectangle	1
Galveston	May 2013	Sphere	1
Lubbock	May 2013	*	3
Corpus Christi	May 2013	Disk	1
El Paso	May 2013	Sphere	1
Dallas	May 2013	Sphere	1
Austin	May 2013	*	4
Fowlerton	April 2013	Unknown	1
Snyder	April 2013	Disk	1
Del Valle	April 2013	Circle	1
Bandera	April 2013	Light	1
Watauga	April 2013	Sphere	1
Bastrop	April 2013	Formation	1
Brownsville	April 2013	Diamond	1
Copperas Cove	April 2013	Circle	1
Garland	April 2013	Oval	1
Arlington	April 2013	Cylinder	1
Fort Worth	April 2013	Fireball	1
San Antonio	April 2013	Fireball	1
Austin	April 2013	*	4
Houston	April 2013	Circle	1
Salt Lake City	March 2013	Disk	1
Millican	March 2013	Light	1
Lone Grove	March 2013	Fireball	1
Round Mountain	March 2013	Sphere	1
Winters	March 2013	Egg	1
Cedar Hill	March 2013	Formation	1
Orange	March 2013	Formation	1
Huffman	March 2013	Fireball	1
China Spring	March 2013	Triangle	1
Cotulla	March 2013	Unknown	1
Lake Jackson	March 2013	Fireball	1
Tyler	March 2013	Fireball	1
Wichita Falls	March 2013	Flash	1
Spring	March 2013	Triangle	1
Katy	March 2013	Diamond	1
Dallas	March 2013	Oval	1
